skill1,skill2,value,type
System Testing,Project Management,2,h-h
Test Automation,Project Management,4,h-h
Test Management,Project Management,2,h-h
Test Planning,Project Management,4,h-h
Project Management,JIRA,2,h-h
Software Development,Quality Center,8,h-h
Test Management,Software Development,4,h-h
Quality Center,HTML,4,h-h
System Testing,HTML,2,h-h
Test Automation,HTML,4,h-h
Test Management,HTML,2,h-h
User Acceptance Testing,HTML,2,h-h
Scrum,Quality Center,8,h-h
Test Management,Scrum,4,h-h
User Acceptance Testing,Scrum,2,h-h
XML,Quality Center,6,h-h
XML,Test Management,4,h-h
XML,User Acceptance Testing,2,h-h
Quality Center,JIRA,4,h-h
System Testing,JIRA,4,h-h
Test Management,JIRA,4,h-h
User Acceptance Testing,JIRA,2,h-h
Managerial Finance,Business Analysis,2,h-h
Financial Accounting,Change Management,4,h-h
Internal Controls,Change Management,6,h-h
SAP,Business Strategy,2,h-h
Management Consulting,Budgets,6,h-h
Management Consulting,Forecasting,6,h-h
SAP,Management Consulting,2,h-h
Management Consulting,Financial Accounting,2,h-h
Management Consulting,Internal Controls,4,h-h
Managerial Finance,Management Consulting,4,h-h
Project Planning,Accounting,2,h-h
Project Planning,Finance,2,h-h
Project Planning,Financial Reporting,2,h-h
Project Planning,Financial Accounting,2,h-h
Project Planning,Internal Controls,2,h-h
Project Planning,Managerial Finance,2,h-h
SAP,Financial Accounting,2,h-h
Customer Service,Admissions,2,h-l
Customer Service,Career Counseling,2,h-h
Resume Writing,Customer Service,2,l-h
Interviews,Event Planning,2,h-h
Event Planning,Admissions,2,h-l
Event Planning,Career Counseling,2,h-h
Resume Writing,Event Planning,2,l-h
Leadership,Admissions,2,h-l
Leadership,Career Counseling,2,h-h
Resume Writing,Leadership,2,l-h
Staff Development,Management,4,h-h
Management,Admissions,2,h-l
Management,Career Counseling,2,h-h
Resume Writing,Management,2,l-h
Microsoft Office,Admissions,2,h-l
Microsoft Office,Career Counseling,2,h-h
Resume Writing,Microsoft Office,2,l-h
Public Speaking,Interviews,2,h-h
Public Speaking,Admissions,2,h-l
Public Speaking,Career Counseling,2,h-h
Resume Writing,Public Speaking,2,l-h
Social Media,Interviews,2,h-h
Social Media,Admissions,2,h-l
Social Media,Career Counseling,2,h-h
Social Media,Resume Writing,2,h-l
Staff Development,Marketing,2,h-h
Marketing,Interviews,2,h-h
Marketing,Admissions,2,h-l
Marketing,Career Counseling,2,h-h
Resume Writing,Marketing,2,l-h
Training,Staff Development,4,h-h
Training,Admissions,2,h-l
Training,Career Counseling,2,h-h
Training,Resume Writing,2,h-l
Staff Development,Sales,2,h-h
Sales,Interviews,2,h-h
Sales,Higher Education,2,h-h
Sales,Admissions,2,h-l
Sales,Career Counseling,2,h-h
Sales,Resume Writing,2,h-l
Team Building,Staff Development,4,h-h
Team Building,Interviews,2,h-h
Team Building,Higher Education,2,h-h
Team Building,Admissions,2,h-l
Team Building,Career Counseling,2,h-h
Team Building,Resume Writing,2,h-l
Staff Development,Recruiting,2,h-h
Staff Development,Interviews,2,h-h
Staff Development,Leadership Development,10,h-h
Staff Development,Admissions,2,h-l
Staff Development,Career Counseling,2,h-h
Staff Development,Resume Writing,2,h-l
Recruiting,Higher Education,2,h-h
Recruiting,Admissions,2,h-l
Recruiting,Career Counseling,2,h-h
Resume Writing,Recruiting,2,l-h
Leadership Development,Interviews,2,h-h
Interviews,Higher Education,2,h-h
Interviews,Admissions,2,h-l
Interviews,Career Counseling,2,h-h
Resume Writing,Interviews,2,l-h
Leadership Development,Higher Education,4,h-h
Leadership Development,Admissions,2,h-l
Leadership Development,Career Counseling,2,h-h
Resume Writing,Leadership Development,2,l-h
Coaching,Admissions,2,h-l
Coaching,Career Counseling,2,h-h
Resume Writing,Coaching,2,l-h
Higher Education,Admissions,2,h-l
Higher Education,Career Counseling,2,h-h
Resume Writing,Higher Education,2,l-h
Career Counseling,Admissions,2,h-l
Resume Writing,Admissions,2,l-l
Resume Writing,Career Counseling,2,l-h
Strategic Communications,Marketing Management,2,h-h
Marketing Management,Corporate Communications,2,h-h
Strategic Communications,Product Marketing,2,h-h
Product Marketing,Corporate Communications,2,h-h
Strategic Communications,Online Advertising,4,h-h
Online Advertising,Corporate Communications,4,h-h
Strategic Communications,Online Marketing,4,h-h
Online Marketing,Corporate Communications,4,h-h
Strategic Communications,Email Marketing,2,h-h
Email Marketing,Corporate Communications,2,h-h
Process Improvement,Mergers & Acquisitions,6,h-h
Recruiting,Accounting,2,h-h
Coaching,Accounting,2,h-h
Recruiting,Corporate Finance,2,h-h
Corporate Finance,Coaching,2,h-h
Recruiting,Finance,2,h-h
Finance,Coaching,2,h-h
Recruiting,Financial Analysis,2,h-h
Financial Analysis,Coaching,2,h-h
Financial Modeling,Coaching,2,h-h
Recruiting,Financial Reporting,2,h-h
Financial Reporting,Coaching,2,h-h
Recruiting,Forecasting,2,h-h
Forecasting,Coaching,2,h-h
Recruiting,Mergers & Acquisitions,2,h-h
SEO,Leadership,2,h-h
SEO,Business Strategy,2,h-h
Email Marketing,Business Strategy,2,h-h
Start-ups,Event Management,2,h-h
Start-ups,Public Relations,2,h-h
Start-ups,SEO,2,h-h
Start-ups,Email Marketing,2,h-h
SEO,CRM,2,h-h
Negotiation,Digital Marketing,2,h-h
SEO,Market Research,2,h-h
SEO,Event Management,2,h-h
SEO,Negotiation,2,h-h
Emergency Management,Customer Service,2,h-h
Customer Service,Criminal Investigations,2,h-l
Enforcement,Customer Service,2,l-h
Police,Customer Service,2,l-h
Customer Service,Aviation,2,h-l
Homeland Security,Customer Service,2,l-h
Public Safety,Customer Service,2,l-h
Leadership,Criminal Investigations,2,h-l
Leadership,Aviation,2,h-l
Management,Criminal Investigations,2,h-l
Management,Aviation,2,h-l
Microsoft Office,Criminal Investigations,2,h-l
Microsoft Office,Enforcement,2,h-l
Police,Microsoft Office,2,l-h
Microsoft Office,Aviation,2,h-l
Microsoft Office,Homeland Security,2,h-l
Public Safety,Microsoft Office,2,l-h
Public Speaking,Emergency Management,2,h-h
Public Speaking,Criminal Investigations,2,h-l
Public Speaking,Enforcement,2,h-l
Public Speaking,Police,2,h-l
Public Speaking,Aviation,2,h-l
Public Speaking,Homeland Security,2,h-l
Public Speaking,Public Safety,2,h-l
Team Leadership,Emergency Management,2,h-h
Team Leadership,Criminal Investigations,2,h-l
Team Leadership,Enforcement,2,h-l
Team Leadership,Police,2,h-l
Team Leadership,Aviation,2,h-l
Team Leadership,Homeland Security,2,h-l
Team Leadership,Public Safety,2,h-l
Program Management,Criminal Investigations,2,h-l
Program Management,Aviation,2,h-l
Project Management,Emergency Management,2,h-h
Project Management,Criminal Investigations,2,h-l
Project Management,Enforcement,2,h-l
Project Management,Police,2,h-l
Project Management,Aviation,2,h-l
Project Management,Homeland Security,2,h-l
Public Safety,Project Management,2,l-h
Strategic Planning,Emergency Management,2,h-h
Strategic Planning,Criminal Investigations,2,h-l
Strategic Planning,Enforcement,2,h-l
Strategic Planning,Police,2,h-l
Strategic Planning,Aviation,2,h-l
Strategic Planning,Homeland Security,2,h-l
Strategic Planning,Public Safety,2,h-l
Training,Criminal Investigations,2,h-l
Training,Enforcement,2,h-l
Training,Police,2,h-l
Training,Aviation,2,h-l
Training,Homeland Security,2,h-l
Training,Public Safety,2,h-l
Operations Management,Emergency Management,2,h-h
Operations Management,Criminal Investigations,2,h-l
Operations Management,Enforcement,2,h-l
Police,Operations Management,2,l-h
Operations Management,Aviation,2,h-l
Operations Management,Homeland Security,2,h-l
Public Safety,Operations Management,2,l-h
Team Building,Emergency Management,2,h-h
Team Building,Criminal Investigations,2,h-l
Team Building,Enforcement,2,h-l
Team Building,Police,2,h-l
Team Building,Aviation,2,h-l
Team Building,Homeland Security,2,h-l
Team Building,Public Safety,2,h-l
Emergency Management,Criminal Investigations,2,h-l
Emergency Management,Aviation,2,h-l
Military,Criminal Investigations,2,h-l
Military,Aviation,2,h-l
Enforcement,Criminal Investigations,2,l-l
Police,Criminal Investigations,2,l-l
Criminal Investigations,Aviation,2,l-l
Homeland Security,Criminal Investigations,2,l-l
Public Safety,Criminal Investigations,2,l-l
Enforcement,Aviation,2,l-l
Police,Aviation,2,l-l
Homeland Security,Aviation,2,l-l
Public Safety,Aviation,2,l-l
Project Management,Inventory Control,2,h-h
Training,Forecasting,2,h-h
Inventory Control,Forecasting,2,h-h
Inventory Control,Cross-functional Team Leadership,2,h-h
Procurement,Inventory Control,2,h-h
Disaster Recovery,Customer Service,4,h-h
Windows 7,Leadership,2,h-h
SaaS,Microsoft Office,2,h-h
Marketing,Active Directory,2,h-h
SaaS,Active Directory,2,h-h
HTML,Change Management,4,h-h
System Administration,Change Management,4,h-h
Technical Support,Change Management,2,h-h
Windows 7,Change Management,2,h-h
Marketing,Disaster Recovery,2,h-h
Sales,Disaster Recovery,2,h-h
HTML,Disaster Recovery,4,h-h
Software Documentation,Disaster Recovery,10,h-h
SaaS,Disaster Recovery,2,h-h
Networking,Marketing,12,h-h
Process Improvement,Networking,8,h-h
Troubleshooting,Marketing,2,h-h
Troubleshooting,SaaS,4,h-h
Software Documentation,Marketing,2,h-h
System Administration,Marketing,2,h-h
Technical Support,Marketing,2,h-h
Windows Server,Marketing,2,h-h
Windows 7,Marketing,2,h-h
SaaS,Process Improvement,2,h-h
Windows 7,Process Improvement,2,h-h
Software Documentation,Sales,2,h-h
System Administration,Sales,2,h-h
Windows Server,Sales,2,h-h
Windows 7,Sales,2,h-h
Software Documentation,HTML,2,h-h
System Administration,HTML,2,h-h
SaaS,HTML,4,h-h
Windows 7,HTML,2,h-h
Software Documentation,SaaS,2,h-h
System Administration,SaaS,2,h-h
Technical Support,SaaS,4,h-h
Windows Server,SaaS,2,h-h
Windows 7,SaaS,2,h-h
Analysis,Advertising Research,4,h-l
Brand Equity,Analysis,4,l-h
Competitive Intelligence,Analysis,4,l-h
Consumer Behaviour,Analysis,4,l-h
Focus Groups,Analysis,4,l-h
Market Intelligence,Analysis,4,l-h
Primary Research,Analysis,4,l-h
Marketing Strategy,Advertising Research,4,h-l
Marketing Strategy,Brand Equity,4,h-l
Marketing Strategy,Competitive Intelligence,4,h-l
Marketing Strategy,Consumer Behaviour,4,h-l
Marketing Strategy,Focus Groups,4,h-l
Marketing Strategy,Market Intelligence,4,h-l
Primary Research,Marketing Strategy,4,l-h
Qualitative Research,Marketing Strategy,4,h-h
Quantitative Research,Marketing Strategy,4,h-h
Segmentation,Marketing Strategy,4,h-h
Strategy,Advertising Research,4,h-l
Strategy,Brand Equity,4,h-l
Strategy,Competitive Intelligence,4,h-l
Strategy,Consumer Behaviour,4,h-l
Strategy,Focus Groups,4,h-l
Strategy,Market Intelligence,4,h-l
Strategy,Primary Research,4,h-l
Customer Insight,CRM,4,h-h
CRM,Analytics,4,h-h
CRM,Advertising Research,4,h-l
CRM,Brand Equity,4,h-l
Competitive Intelligence,CRM,4,l-h
Consumer Behaviour,CRM,4,l-h
Focus Groups,CRM,4,l-h
Market Analysis,CRM,4,h-h
Market Intelligence,CRM,4,l-h
Marketing Research,CRM,4,h-h
Primary Research,CRM,4,l-h
Qualitative Research,CRM,4,h-h
Quantitative Research,CRM,4,h-h
Segmentation,CRM,4,h-h
Competitive Analysis,Advertising Research,4,h-l
Competitive Analysis,Brand Equity,4,h-l
Competitive Intelligence,Competitive Analysis,4,l-h
Consumer Behaviour,Competitive Analysis,4,l-h
Focus Groups,Competitive Analysis,4,l-h
Market Intelligence,Competitive Analysis,4,l-h
Primary Research,Competitive Analysis,4,l-h
Qualitative Research,Competitive Analysis,4,h-h
Quantitative Research,Competitive Analysis,4,h-h
Segmentation,Competitive Analysis,4,h-h
Customer Insight,Advertising Research,4,h-l
Customer Insight,Brand Equity,4,h-l
Customer Insight,Competitive Intelligence,4,h-l
Customer Insight,Consumer Behaviour,4,h-l
Focus Groups,Customer Insight,4,l-h
Market Analysis,Customer Insight,4,h-h
Market Intelligence,Customer Insight,4,l-h
Marketing Research,Customer Insight,4,h-h
Primary Research,Customer Insight,4,l-h
Qualitative Research,Customer Insight,4,h-h
Quantitative Research,Customer Insight,4,h-h
Market Research,Advertising Research,4,h-l
Market Research,Brand Equity,4,h-l
Market Research,Competitive Intelligence,4,h-l
Market Research,Consumer Behaviour,4,h-l
Market Research,Focus Groups,4,h-l
Market Research,Market Intelligence,4,h-l
Primary Research,Market Research,4,l-h
Segmentation,Market Research,4,h-h
Analytics,Advertising Research,4,h-l
Brand Equity,Analytics,4,l-h
Competitive Intelligence,Analytics,4,l-h
Consumer Behaviour,Analytics,4,l-h
Focus Groups,Analytics,4,l-h
Market Intelligence,Analytics,4,l-h
Primary Research,Analytics,4,l-h
Brand Equity,Advertising Research,4,l-l
Competitive Intelligence,Advertising Research,4,l-l
Consumer Behaviour,Advertising Research,4,l-l
Focus Groups,Advertising Research,4,l-l
Market Analysis,Advertising Research,4,h-l
Market Intelligence,Advertising Research,4,l-l
Marketing Research,Advertising Research,4,h-l
Primary Research,Advertising Research,4,l-l
Qualitative Research,Advertising Research,4,h-l
Quantitative Research,Advertising Research,4,h-l
Segmentation,Advertising Research,4,h-l
Competitive Intelligence,Brand Equity,4,l-l
Consumer Behaviour,Brand Equity,4,l-l
Focus Groups,Brand Equity,4,l-l
Market Analysis,Brand Equity,4,h-l
Market Intelligence,Brand Equity,4,l-l
Marketing Research,Brand Equity,4,h-l
Primary Research,Brand Equity,4,l-l
Qualitative Research,Brand Equity,4,h-l
Quantitative Research,Brand Equity,4,h-l
Segmentation,Brand Equity,4,h-l
Consumer Behaviour,Competitive Intelligence,4,l-l
Focus Groups,Competitive Intelligence,4,l-l
Market Analysis,Competitive Intelligence,4,h-l
Market Intelligence,Competitive Intelligence,4,l-l
Marketing Research,Competitive Intelligence,4,h-l
Primary Research,Competitive Intelligence,4,l-l
Qualitative Research,Competitive Intelligence,4,h-l
Quantitative Research,Competitive Intelligence,4,h-l
Segmentation,Competitive Intelligence,4,h-l
Focus Groups,Consumer Behaviour,4,l-l
Market Analysis,Consumer Behaviour,4,h-l
Market Intelligence,Consumer Behaviour,4,l-l
Marketing Research,Consumer Behaviour,4,h-l
Primary Research,Consumer Behaviour,4,l-l
Qualitative Research,Consumer Behaviour,4,h-l
Quantitative Research,Consumer Behaviour,4,h-l
Segmentation,Consumer Behaviour,4,h-l
Market Analysis,Focus Groups,4,h-l
Market Intelligence,Focus Groups,4,l-l
Marketing Research,Focus Groups,4,h-l
Primary Research,Focus Groups,4,l-l
Qualitative Research,Focus Groups,4,h-l
Quantitative Research,Focus Groups,4,h-l
Segmentation,Focus Groups,4,h-l
Market Intelligence,Market Analysis,4,l-h
Primary Research,Market Analysis,4,l-h
Qualitative Research,Market Analysis,4,h-h
Quantitative Research,Market Analysis,4,h-h
Segmentation,Market Analysis,4,h-h
Marketing Research,Market Intelligence,4,h-l
Primary Research,Market Intelligence,4,l-l
Qualitative Research,Market Intelligence,4,h-l
Quantitative Research,Market Intelligence,4,h-l
Segmentation,Market Intelligence,4,h-l
Primary Research,Marketing Research,4,l-h
Segmentation,Marketing Research,4,h-h
Qualitative Research,Primary Research,4,h-l
Quantitative Research,Primary Research,4,h-l
Segmentation,Primary Research,4,h-l
Segmentation,Qualitative Research,4,h-h
Segmentation,Quantitative Research,4,h-h
Oracle,Microsoft Excel,6,h-h
Microsoft Excel,Data Modeling,2,h-h
Microsoft Excel,Data Warehousing,6,h-h
Microsoft Excel,ETL,2,h-h
PL/SQL,Microsoft Excel,2,h-h
Microsoft Excel,Business Objects,2,h-l
OLAP,Microsoft Excel,2,l-h
Business Objects,Business Analysis,2,l-h
OLAP,Business Analysis,2,l-h
Project Management,Data Modeling,6,h-h
Project Management,ETL,6,h-h
Project Management,PL/SQL,2,h-h
Project Management,Business Objects,2,h-l
Project Management,OLAP,2,h-l
Data Modeling,Analysis,6,h-h
Data Warehousing,Analysis,10,h-h
ETL,Analysis,6,h-h
PL/SQL,Analysis,2,h-h
Business Objects,Analysis,2,l-h
OLAP,Analysis,2,l-h
Business Objects,Business Intelligence,2,l-h
OLAP,Business Intelligence,2,l-h
Requirements Analysis,Data Mining,6,h-h
SAS,Requirements Analysis,6,h-h
Requirements Analysis,Business Objects,2,h-l
Requirements Analysis,OLAP,2,h-l
Microsoft SQL Server,Analytics,6,h-h
Microsoft SQL Server,Data Mining,2,h-h
SAS,Microsoft SQL Server,2,h-h
Microsoft SQL Server,Business Objects,2,h-l
OLAP,Microsoft SQL Server,2,l-h
SQL,Business Objects,2,h-l
SQL,OLAP,2,h-l
Databases,Business Objects,2,h-l
OLAP,Databases,2,l-h
Oracle,Analytics,6,h-h
Oracle,Data Mining,6,h-h
SAS,Oracle,6,h-h
Oracle,Business Objects,2,h-l
Oracle,OLAP,2,h-l
Data Modeling,Analytics,6,h-h
Data Warehousing,Analytics,10,h-h
ETL,Analytics,6,h-h
PL/SQL,Analytics,2,h-h
Business Objects,Analytics,2,l-h
OLAP,Analytics,2,l-h
Data Analysis,Business Objects,2,h-l
OLAP,Data Analysis,2,l-h
Data Modeling,Data Mining,2,h-h
Data Warehousing,Data Mining,6,h-h
ETL,Data Mining,2,h-h
PL/SQL,Data Mining,2,h-h
Data Mining,Business Objects,2,h-l
OLAP,Data Mining,2,l-h
SAS,Data Modeling,2,h-h
Data Modeling,Business Objects,2,h-l
OLAP,Data Modeling,2,l-h
SAS,Data Warehousing,6,h-h
Data Warehousing,Business Objects,2,h-l
OLAP,Data Warehousing,2,l-h
SAS,ETL,2,h-h
ETL,Business Objects,2,h-l
OLAP,ETL,2,l-h
SAS,PL/SQL,2,h-h
PL/SQL,Business Objects,2,h-l
PL/SQL,OLAP,2,h-l
SAS,Business Objects,2,h-l
SAS,OLAP,2,h-l
OLAP,Business Objects,2,l-l
Mergers,Management,4,h-h
Management,Acquisitions,2,h-l
Real Estate Economics,Management,2,l-h
Mergers,Business Development,2,h-h
Commercial Real Estate,Business Development,2,h-h
Disposition,Business Development,2,h-h
Investment Properties,Business Development,2,h-h
Real Estate Development,Business Development,2,h-h
Real Estate Transactions,Business Development,2,h-h
Business Development,Acquisitions,2,h-l
Real Estate Economics,Business Development,2,l-h
Mergers,Business Strategy,4,h-h
Commercial Real Estate,Business Strategy,2,h-h
Disposition,Business Strategy,2,h-h
Investment Properties,Business Strategy,2,h-h
Real Estate,Business Strategy,2,h-h
Real Estate Development,Business Strategy,2,h-h
Real Estate Transactions,Business Strategy,2,h-h
Business Strategy,Acquisitions,2,h-l
Real Estate Economics,Business Strategy,2,l-h
Strategy,Mergers,4,h-h
Strategy,Commercial Real Estate,2,h-h
Strategy,Disposition,2,h-h
Strategy,Investment Properties,2,h-h
Strategy,Real Estate,2,h-h
Strategy,Real Estate Development,2,h-h
Strategy,Real Estate Transactions,2,h-h
Strategy,Acquisitions,2,h-l
Strategy,Real Estate Economics,2,h-l
Mergers,Due Diligence,4,h-h
Real Estate Transactions,Due Diligence,2,h-h
Due Diligence,Acquisitions,2,h-l
Mergers,Financial Analysis,4,h-h
Financial Analysis,Commercial Real Estate,2,h-h
Financial Analysis,Disposition,2,h-h
Investment Properties,Financial Analysis,2,h-h
Real Estate,Financial Analysis,2,h-h
Real Estate Development,Financial Analysis,2,h-h
Real Estate Transactions,Financial Analysis,2,h-h
Financial Analysis,Acquisitions,2,h-l
Real Estate Economics,Financial Analysis,2,l-h
Mergers,Financial Modeling,4,h-h
Financial Modeling,Commercial Real Estate,2,h-h
Financial Modeling,Disposition,2,h-h
Investment Properties,Financial Modeling,2,h-h
Real Estate,Financial Modeling,2,h-h
Real Estate Development,Financial Modeling,2,h-h
Real Estate Transactions,Financial Modeling,2,h-h
Financial Modeling,Acquisitions,2,h-l
Real Estate Economics,Financial Modeling,2,l-h
Mergers,Investments,2,h-h
Investments,Commercial Real Estate,2,h-h
Investments,Disposition,2,h-h
Real Estate Development,Investments,2,h-h
Investments,Acquisitions,2,h-l
Real Estate Economics,Investments,2,l-h
Mergers & Acquisitions,Mergers,4,h-h
Private Equity,Mergers,4,h-h
Valuation,Mergers,2,h-h
Mergers,Commercial Real Estate,2,h-h
Mergers,Disposition,2,h-h
Mergers,Investment Properties,2,h-h
Real Estate,Mergers,2,h-h
Real Estate Development,Mergers,2,h-h
Real Estate Transactions,Mergers,2,h-h
Mergers,Acquisitions,2,h-l
Real Estate Economics,Mergers,2,l-h
Mergers & Acquisitions,Commercial Real Estate,2,h-h
Mergers & Acquisitions,Disposition,2,h-h
Mergers & Acquisitions,Investment Properties,2,h-h
Real Estate,Mergers & Acquisitions,2,h-h
Real Estate Development,Mergers & Acquisitions,2,h-h
Real Estate Transactions,Mergers & Acquisitions,2,h-h
Mergers & Acquisitions,Acquisitions,2,h-l
Real Estate Economics,Mergers & Acquisitions,2,l-h
Private Equity,Commercial Real Estate,2,h-h
Private Equity,Disposition,2,h-h
Private Equity,Investment Properties,2,h-h
Real Estate,Private Equity,2,h-h
Real Estate Development,Private Equity,2,h-h
Real Estate Transactions,Private Equity,2,h-h
Private Equity,Acquisitions,2,h-l
Real Estate Economics,Private Equity,2,l-h
Valuation,Commercial Real Estate,2,h-h
Valuation,Disposition,2,h-h
Valuation,Investment Properties,2,h-h
Valuation,Real Estate,2,h-h
Valuation,Real Estate Development,2,h-h
Valuation,Real Estate Transactions,2,h-h
Valuation,Acquisitions,2,h-l
Valuation,Real Estate Economics,2,h-l
Commercial Real Estate,Acquisitions,2,h-l
Disposition,Acquisitions,2,h-l
Investment Properties,Acquisitions,2,h-l
Real Estate,Acquisitions,2,h-l
Real Estate Development,Acquisitions,2,h-l
Real Estate Transactions,Acquisitions,2,h-l
Real Estate Transactions,Real Estate Economics,2,h-l
Real Estate Economics,Acquisitions,2,l-l
Microsoft Office,Lecturing,2,h-h
Analysis,Algorithms,4,h-h
Biochemistry,Analysis,2,h-h
Cell Culture,Analysis,2,h-h
Strategic Planning,Algorithms,2,h-h
Strategic Planning,Biochemistry,2,h-h
Strategic Planning,Cell Culture,2,h-h
Strategic Planning,Molecular Biology,2,h-h
Strategic Planning,Data Mining,2,h-h
Policy,Algorithms,2,h-h
Policy,Biochemistry,2,h-h
Policy,Cell Culture,2,h-h
Policy,Lifesciences,2,h-h
Policy,Molecular Biology,2,h-h
Science,Policy,2,h-h
Statistics,Policy,4,h-h
Policy,Data Mining,2,h-h
Qualitative Research,Policy,2,h-h
Policy Analysis,Matlab,2,h-h
Policy Analysis,Algorithms,2,h-h
Policy Analysis,Biochemistry,2,h-h
Lecturing,Biochemistry,2,h-h
Data Mining,Cell Culture,2,h-h
Policy Analysis,Cell Culture,2,h-h
Qualitative Research,Cell Culture,2,h-h
Lecturing,Cell Culture,2,h-h
Policy Analysis,Lifesciences,2,h-h
Lifesciences,Lecturing,2,h-h
Policy Analysis,Molecular Biology,2,h-h
Molecular Biology,Lecturing,2,h-h
Science,Policy Analysis,2,h-h
Lecturing,Data Mining,2,h-h
Policy Analysis,Lecturing,2,h-h
Research,Prevention,2,h-l
Research,Epidemiology,4,h-l
Research,Global Health,2,h-l
Research,Health Policy,2,h-l
Research,Infectious Diseases,2,h-h
Research,International Health,2,h-l
Prevention,Healthcare,4,l-h
Healthcare,Epidemiology,4,h-l
Healthcare,Global Health,2,h-l
Healthcare,Health Policy,2,h-l
International Health,Healthcare,2,l-h
Prevention,Medicine,2,l-h
Medicine,Epidemiology,4,h-l
Medicine,Global Health,2,h-l
Medicine,Health Policy,2,h-l
Medicine,International Health,2,h-l
Prevention,Clinical Research,4,l-h
Epidemiology,Clinical Research,4,l-h
Global Health,Clinical Research,2,l-h
Health Policy,Clinical Research,2,l-h
International Health,Clinical Research,2,l-h
Prevention,Healthcare Information Technology,2,l-h
Healthcare Information Technology,Epidemiology,2,h-l
Healthcare Information Technology,Global Health,2,h-l
Healthcare Information Technology,Health Policy,2,h-l
Infectious Diseases,Healthcare Information Technology,2,h-h
International Health,Healthcare Information Technology,2,l-h
Prevention,Healthcare Management,2,l-h
Healthcare Management,Epidemiology,2,h-l
Healthcare Management,Global Health,2,h-l
Healthcare Management,Health Policy,2,h-l
International Health,Healthcare Management,2,l-h
Prevention,Hospitals,2,l-h
Hospitals,Epidemiology,4,h-l
Hospitals,Global Health,2,h-l
Hospitals,Health Policy,2,h-l
International Health,Hospitals,2,l-h
Prevention,Pediatrics,4,l-h
Pediatrics,Epidemiology,2,h-l
Pediatrics,Global Health,2,h-l
Pediatrics,Health Policy,2,h-l
Pediatrics,Infectious Diseases,2,h-h
Pediatrics,International Health,2,h-l
Public Health,Prevention,4,h-l
Prevention,Epidemiology,2,l-l
Prevention,Global Health,2,l-l
Prevention,Health Policy,2,l-l
Prevention,Infectious Diseases,2,l-h
Prevention,Emergency Medicine,2,l-h
Prevention,Family Medicine,2,l-h
Prevention,Internal Medicine,2,l-h
Prevention,International Health,2,l-l
Prevention,Medical Education,2,l-h
Surgery,Prevention,2,h-l
Public Health,Epidemiology,2,h-l
Public Health,Global Health,2,h-l
Public Health,Health Policy,2,h-l
Public Health,Infectious Diseases,2,h-h
Public Health,International Health,2,h-l
Global Health,Epidemiology,2,l-l
Health Policy,Epidemiology,2,l-l
Infectious Diseases,Epidemiology,2,h-l
Epidemiology,Emergency Medicine,2,l-h
Family Medicine,Epidemiology,2,h-l
Internal Medicine,Epidemiology,2,h-l
International Health,Epidemiology,2,l-l
Medical Education,Epidemiology,4,h-l
Surgery,Epidemiology,2,h-l
Health Policy,Global Health,2,l-l
Infectious Diseases,Global Health,2,h-l
Global Health,Emergency Medicine,2,l-h
Global Health,Family Medicine,2,l-h
Internal Medicine,Global Health,2,h-l
International Health,Global Health,2,l-l
Medical Education,Global Health,2,h-l
Surgery,Global Health,2,h-l
Infectious Diseases,Health Policy,2,h-l
Health Policy,Emergency Medicine,2,l-h
Health Policy,Family Medicine,2,l-h
Internal Medicine,Health Policy,2,h-l
International Health,Health Policy,2,l-l
Medical Education,Health Policy,2,h-l
Surgery,Health Policy,2,h-l
Infectious Diseases,Family Medicine,2,h-h
International Health,Infectious Diseases,2,l-h
Medical Education,Infectious Diseases,2,h-h
International Health,Emergency Medicine,2,l-h
International Health,Family Medicine,2,l-h
International Health,Internal Medicine,2,l-h
Medical Education,International Health,2,h-l
Surgery,International Health,2,h-l
Go-to-market Strategy,Business Strategy,2,h-h
Marketing,Go-to-market Strategy,2,h-h
Marketing Strategy,Go-to-market Strategy,2,h-h
Strategic Planning,Go-to-market Strategy,2,h-h
Go-to-market Strategy,CRM,2,h-h
Mobile Devices,CRM,2,h-h
Marketing Communications,Cross-functional Team Leadership,4,h-h
Product Management,Marketing Communications,4,h-h
Marketing Communications,Go-to-market Strategy,2,h-h
Mobile Devices,Marketing Communications,2,h-h
Sales,Go-to-market Strategy,2,h-h
Integration,Debugging,2,h-h
Integration,IC,2,h-h
XML,Product Development,2,h-h
Product Development,Oracle,2,h-h
Product Development,Debugging,2,h-h
Product Development,PL/SQL,2,h-h
Semiconductors,Agile Methodologies,2,h-h
PL/SQL,Agile Methodologies,4,h-h
IC,Agile Methodologies,2,h-h
Java,IC,2,h-h
Software Development,IC,2,h-h
JavaScript,IC,2,h-h
SQL,IC,2,h-h
XML,Manufacturing,2,h-h
XML,Product Management,2,h-h
XML,Engineering,4,h-h
XML,Semiconductors,2,h-h
XML,IC,2,h-h
Oracle,Manufacturing,2,h-h
PL/SQL,Manufacturing,2,h-h
Unix,Product Management,2,h-h
Product Management,Oracle,2,h-h
Product Management,Debugging,2,h-h
Product Management,PL/SQL,2,h-h
Product Management,IC,2,h-h
Oracle,Engineering,4,h-h
PL/SQL,Engineering,2,h-h
Oracle,Embedded Systems,2,h-h
Semiconductors,Oracle,2,h-h
Oracle,Debugging,2,h-h
Oracle,IC,2,h-h
PL/SQL,Embedded Systems,2,h-h
